AlarmCode,AlarmType,Class,Payload,OldALID,NewALID,OldDigits,NewDigits,Changed,Registered,Message
WAR1330,8,2,1330,1841542855,200001330,10,9,YES,YES,Auto3 : Auto feed tray miss
WAR1430,8,2,1430,1841543816,200001430,10,9,YES,YES,Auto4 : Auto feed tray miss
WAR1530,8,2,1530,1841544777,200001530,10,9,YES,YES,Auto5 : Auto feed tray miss
WAR1630,8,2,1630,1841545738,200001630,10,9,YES,YES,Auto6 : Auto feed tray miss
WAR16120,8,2,16120,1253341218,200016120,10,9,YES,YES,Top CCD connect not ready (Loader Tray ID no respond)
WAR16121,8,2,16121,1253341219,200016121,10,9,YES,YES,Color CCD connect not ready (Color Tray ID no respond)
MES0920,1,3,920,1671856706,300000920,10,9,YES,YES,Loader Tray Empty
MES0924,1,3,924,1671856710,300000924,10,9,YES,YES,Loader rear has a leftover tray
MES0925,1,3,925,1671856711,300000925,10,9,YES,YES,Loader front rise cylinder not retracted (C_Loader_FrontRiseTray_1)
MES1021,1,3,1021,1671877849,300001021,10,9,YES,YES,Bottom Empty Tray Is Miss Error
MES1022,1,3,1022,1671877850,300001022,10,9,YES,YES,Empty supply magazine empty
MES1023,1,3,1023,1671877851,300001023,10,9,YES,YES,Empty supply stack full (sensor)
MES1024,1,3,1024,1671877852,300001024,10,9,YES,YES,Front Empty Tray Is Miss Error
MES1025,1,3,1025,1671877853,300001025,10,9,YES,YES,Empty carriage still holds a tray after clean-out - remove it
MES1120,1,3,1120,1671878809,300001120,10,9,YES,YES,Auto1 : Auto output stack full (sensor)
MES1123,1,3,1123,1671878812,300001123,10,9,YES,YES,Auto1 : Auto clean-out residual tray after drain
MES1125,1,3,1125,1671878814,300001125,10,9,YES,YES,Auto1 : Auto output car full
MES1220,1,3,1220,1671879770,300001220,10,9,YES,YES,Auto2 : Auto output stack full (sensor)
MES1223,1,3,1223,1671879773,300001223,10,9,YES,YES,Auto2 : Auto clean-out residual tray after drain
MES1225,1,3,1225,1671879775,300001225,10,9,YES,YES,Auto2 : Auto output car full
MES1320,1,3,1320,1671880731,300001320,10,9,YES,YES,Auto3 : Auto output stack full (sensor)
MES1323,1,3,1323,1671880734,300001323,10,9,YES,YES,Auto3 : Auto clean-out residual tray after drain
MES1325,1,3,1325,1671880736,300001325,10,9,YES,YES,Auto3 : Auto output car full
MES1420,1,3,1420,1671881692,300001420,10,9,YES,YES,Auto4 : Auto output stack full (sensor)
MES1421,1,3,1421,1671881693,300001421,10,9,YES,YES,Color supply tray is not ready
MES1422,1,3,1422,1671881694,300001422,10,9,YES,YES,Color Push Tray Miss
MES1423,1,3,1423,1671881695,300001423,10,9,YES,YES,Auto4 : Auto clean-out residual tray after drain
MES1424,1,3,1424,1671881696,300001424,10,9,YES,YES,Color front supply tray is missing
MES1425,1,3,1425,1671881697,300001425,10,9,YES,YES,Auto4 : Auto output car full
MES1426,1,3,1426,1671881698,300001426,10,9,YES,YES,Color rear has a leftover tray
MES1427,1,3,1427,1671881699,300001427,10,9,YES,YES,Color supply stack full (sensor)
MES1428,1,3,1428,1671881700,300001428,10,9,YES,YES,Color carriage still holds a tray after clean-out - remove it
MES1520,1,3,1520,1671882653,300001520,10,9,YES,YES,Auto5 : Auto output stack full (sensor)
MES1523,1,3,1523,1671882656,300001523,10,9,YES,YES,Auto5 : Auto clean-out residual tray after drain
MES1525,1,3,1525,1671882658,300001525,10,9,YES,YES,Auto5 : Auto output car full
MES1620,1,3,1620,1671883614,300001620,10,9,YES,YES,Auto6 : Auto output stack full (sensor)
MES1623,1,3,1623,1671883617,300001623,10,9,YES,YES,Auto6 : Auto clean-out residual tray after drain
MES1625,1,3,1625,1671883619,300001625,10,9,YES,YES,Auto6 : Auto output car full
MES1721,1,3,1721,1671884576,300001721,10,9,YES,YES,TrayArm pick blocked - rear source not ready
MES1722,1,3,1722,1671884577,300001722,10,9,YES,YES,TrayArm holds an unidentified tray
MES1723,1,3,1723,1671884578,300001723,10,9,YES,YES,TrayArm place blocked - destination rear not free
MES1921,1,3,1921,1671886498,300001921,10,9,YES,YES,SortArm blocked - waiting for the destination Auto to receive a tray
40000,4,4,40000,49500724,400040000,8,9,YES,YES,The cylinder [C_TrayArmZ_Up_Off] can not off error
40001,4,4,40001,49500725,400040001,8,9,YES,YES,The cylinder [C_TrayArmZ_Up_Off] can not on error
40002,4,4,40002,49500726,400040002,8,9,YES,YES,The cylinder [C_TrayArmZ_Up_Off] off sensor is on error
40003,4,4,40003,49500727,400040003,8,9,YES,YES,The cylinder [C_TrayArmZ_Up_On] can not on error
40004,4,4,40004,49500728,400040004,8,9,YES,YES,The cylinder [C_TrayArmZ_Up_On] can not off error
40005,4,4,40005,49500729,400040005,8,9,YES,YES,The cylinder [C_TrayArmZ_Up_On] on sensor is on error
40010,4,4,40010,49500755,400040010,8,9,YES,YES,The cylinder [C_TrayArmZ_Down_Off] can not off error
40011,4,4,40011,49500756,400040011,8,9,YES,YES,The cylinder [C_TrayArmZ_Down_Off] can not on error
40012,4,4,40012,49500757,400040012,8,9,YES,YES,The cylinder [C_TrayArmZ_Down_Off] off sensor is on error
40013,4,4,40013,49500758,400040013,8,9,YES,YES,The cylinder [C_TrayArmZ_Down_On] can not on error
40014,4,4,40014,49500759,400040014,8,9,YES,YES,The cylinder [C_TrayArmZ_Down_On] can not off error
40015,4,4,40015,49500760,400040015,8,9,YES,YES,The cylinder [C_TrayArmZ_Down_On] on sensor is on error
40020,4,4,40020,49500786,400040020,8,9,YES,YES,The cylinder [C_TrayArm_FrontClamp_Off] can not off error
40021,4,4,40021,49500787,400040021,8,9,YES,YES,The cylinder [C_TrayArm_FrontClamp_Off] can not on error
40022,4,4,40022,49500788,400040022,8,9,YES,YES,The cylinder [C_TrayArm_FrontClamp_Off] off sensor is on error
40023,4,4,40023,49500789,400040023,8,9,YES,YES,The cylinder [C_TrayArm_FrontClamp_On] can not on error
40024,4,4,40024,49500790,400040024,8,9,YES,YES,The cylinder [C_TrayArm_FrontClamp_On] can not off error
40025,4,4,40025,49500791,400040025,8,9,YES,YES,The cylinder [C_TrayArm_FrontClamp_On] on sensor is on error
40030,4,4,40030,49500817,400040030,8,9,YES,YES,The cylinder [C_TrayArm_RearClamp_Off] can not off error
40031,4,4,40031,49500818,400040031,8,9,YES,YES,The cylinder [C_TrayArm_RearClamp_Off] can not on error
40032,4,4,40032,49500819,400040032,8,9,YES,YES,The cylinder [C_TrayArm_RearClamp_Off] off sensor is on error
40033,4,4,40033,49500820,400040033,8,9,YES,YES,The cylinder [C_TrayArm_RearClamp_On] can not on error
40034,4,4,40034,49500821,400040034,8,9,YES,YES,The cylinder [C_TrayArm_RearClamp_On] can not off error
40035,4,4,40035,49500822,400040035,8,9,YES,YES,The cylinder [C_TrayArm_RearClamp_On] on sensor is on error
40040,4,4,40040,49500848,400040040,8,9,YES,YES,The cylinder [C_Empty_FrontRiseTray_1_Off] can not off error
40041,4,4,40041,49500849,400040041,8,9,YES,YES,The cylinder [C_Empty_FrontRiseTray_1_Off] can not on error
40042,4,4,40042,49500850,400040042,8,9,YES,YES,The cylinder [C_Empty_FrontRiseTray_1_Off] off sensor is on error
40043,4,4,40043,49500851,400040043,8,9,YES,YES,The cylinder [C_Empty_FrontRiseTray_1_On] can not on error
40044,4,4,40044,49500852,400040044,8,9,YES,YES,The cylinder [C_Empty_FrontRiseTray_1_On] can not off error
40045,4,4,40045,49500853,400040045,8,9,YES,YES,The cylinder [C_Empty_FrontRiseTray_1_On] on sensor is on error
40050,4,4,40050,49500879,400040050,8,9,YES,YES,The cylinder [C_Empty_FrontRiseTray_2_Off] can not off error
40051,4,4,40051,49500880,400040051,8,9,YES,YES,The cylinder [C_Empty_FrontRiseTray_2_Off] can not on error
40052,4,4,40052,49500881,400040052,8,9,YES,YES,The cylinder [C_Empty_FrontRiseTray_2_Off] off sensor is on error
40053,4,4,40053,49500882,400040053,8,9,YES,YES,The cylinder [C_Empty_FrontRiseTray_2_On] can not on error
40054,4,4,40054,49500883,400040054,8,9,YES,YES,The cylinder [C_Empty_FrontRiseTray_2_On] can not off error
40055,4,4,40055,49500884,400040055,8,9,YES,YES,The cylinder [C_Empty_FrontRiseTray_2_On] on sensor is on error
40060,4,4,40060,49500910,400040060,8,9,YES,YES,The cylinder [C_Empty_PushTray_Off] can not off error
40061,4,4,40061,49500911,400040061,8,9,YES,YES,The cylinder [C_Empty_PushTray_Off] can not on error
40062,4,4,40062,49500912,400040062,8,9,YES,YES,The cylinder [C_Empty_PushTray_Off] off sensor is on error
40063,4,4,40063,49500913,400040063,8,9,YES,YES,The cylinder [C_Empty_PushTray_On] can not on error
40064,4,4,40064,49500914,400040064,8,9,YES,YES,The cylinder [C_Empty_PushTray_On] can not off error
40065,4,4,40065,49500915,400040065,8,9,YES,YES,The cylinder [C_Empty_PushTray_On] on sensor is on error
40070,4,4,40070,49500941,400040070,8,9,YES,YES,The cylinder [C_Empty_LeanOnTray_Off] can not off error
40071,4,4,40071,49500942,400040071,8,9,YES,YES,The cylinder [C_Empty_LeanOnTray_Off] can not on error
40072,4,4,40072,49500943,400040072,8,9,YES,YES,The cylinder [C_Empty_LeanOnTray_Off] off sensor is on error
40073,4,4,40073,49500944,400040073,8,9,YES,YES,The cylinder [C_Empty_LeanOnTray_On] can not on error
40074,4,4,40074,49500945,400040074,8,9,YES,YES,The cylinder [C_Empty_LeanOnTray_On] can not off error
40075,4,4,40075,49500946,400040075,8,9,YES,YES,The cylinder [C_Empty_LeanOnTray_On] on sensor is on error
40080,4,4,40080,49500972,400040080,8,9,YES,YES,The cylinder [C_Empty_FrontSeparateTray_1_Off] can not off error
40081,4,4,40081,49500973,400040081,8,9,YES,YES,The cylinder [C_Empty_FrontSeparateTray_1_Off] can not on error
40082,4,4,40082,49500974,400040082,8,9,YES,YES,The cylinder [C_Empty_FrontSeparateTray_1_Off] off sensor is on error
40083,4,4,40083,49500975,400040083,8,9,YES,YES,The cylinder [C_Empty_FrontSeparateTray_1_On] can not on error
40084,4,4,40084,49500976,400040084,8,9,YES,YES,The cylinder [C_Empty_FrontSeparateTray_1_On] can not off error
40085,4,4,40085,49500977,400040085,8,9,YES,YES,The cylinder [C_Empty_FrontSeparateTray_1_On] on sensor is on error
40090,4,4,40090,49501003,400040090,8,9,YES,YES,The cylinder [C_Loader_FrontRiseTray_1_Off] can not off error
40091,4,4,40091,49501004,400040091,8,9,YES,YES,The cylinder [C_Loader_FrontRiseTray_1_Off] can not on error
40092,4,4,40092,49501005,400040092,8,9,YES,YES,The cylinder [C_Loader_FrontRiseTray_1_Off] off sensor is on error
40093,4,4,40093,49501006,400040093,8,9,YES,YES,The cylinder [C_Loader_FrontRiseTray_1_On] can not on error
40094,4,4,40094,49501007,400040094,8,9,YES,YES,The cylinder [C_Loader_FrontRiseTray_1_On] can not off error
40095,4,4,40095,49501008,400040095,8,9,YES,YES,The cylinder [C_Loader_FrontRiseTray_1_On] on sensor is on error
40100,4,4,40100,49501685,400040100,8,9,YES,YES,The cylinder [C_Loader_FrontRiseTray_2_Off] can not off error
40101,4,4,40101,49501686,400040101,8,9,YES,YES,The cylinder [C_Loader_FrontRiseTray_2_Off] can not on error
40102,4,4,40102,49501687,400040102,8,9,YES,YES,The cylinder [C_Loader_FrontRiseTray_2_Off] off sensor is on error
40103,4,4,40103,49501688,400040103,8,9,YES,YES,The cylinder [C_Loader_FrontRiseTray_2_On] can not on error
40104,4,4,40104,49501689,400040104,8,9,YES,YES,The cylinder [C_Loader_FrontRiseTray_2_On] can not off error
40105,4,4,40105,49501690,400040105,8,9,YES,YES,The cylinder [C_Loader_FrontRiseTray_2_On] on sensor is on error
40110,4,4,40110,49501716,400040110,8,9,YES,YES,The cylinder [C_Loader1_PushTray_Off] can not off error
40111,4,4,40111,49501717,400040111,8,9,YES,YES,The cylinder [C_Loader1_PushTray_Off] can not on error
40112,4,4,40112,49501718,400040112,8,9,YES,YES,The cylinder [C_Loader1_PushTray_Off] off sensor is on error
40113,4,4,40113,49501719,400040113,8,9,YES,YES,The cylinder [C_Loader1_PushTray_On] can not on error
40114,4,4,40114,49501720,400040114,8,9,YES,YES,The cylinder [C_Loader1_PushTray_On] can not off error
40115,4,4,40115,49501721,400040115,8,9,YES,YES,The cylinder [C_Loader1_PushTray_On] on sensor is on error
40120,4,4,40120,49501747,400040120,8,9,YES,YES,The cylinder [C_Loader2_PushTray_Off] can not off error
40121,4,4,40121,49501748,400040121,8,9,YES,YES,The cylinder [C_Loader2_PushTray_Off] can not on error
40122,4,4,40122,49501749,400040122,8,9,YES,YES,The cylinder [C_Loader2_PushTray_Off] off sensor is on error
40123,4,4,40123,49501750,400040123,8,9,YES,YES,The cylinder [C_Loader2_PushTray_On] can not on error
40124,4,4,40124,49501751,400040124,8,9,YES,YES,The cylinder [C_Loader2_PushTray_On] can not off error
40125,4,4,40125,49501752,400040125,8,9,YES,YES,The cylinder [C_Loader2_PushTray_On] on sensor is on error
40130,4,4,40130,49501778,400040130,8,9,YES,YES,The cylinder [C_Loader1_LeanOnTray_Off] can not off error
40131,4,4,40131,49501779,400040131,8,9,YES,YES,The cylinder [C_Loader1_LeanOnTray_Off] can not on error
40132,4,4,40132,49501780,400040132,8,9,YES,YES,The cylinder [C_Loader1_LeanOnTray_Off] off sensor is on error
40133,4,4,40133,49501781,400040133,8,9,YES,YES,The cylinder [C_Loader1_LeanOnTray_On] can not on error
40134,4,4,40134,49501782,400040134,8,9,YES,YES,The cylinder [C_Loader1_LeanOnTray_On] can not off error
40135,4,4,40135,49501783,400040135,8,9,YES,YES,The cylinder [C_Loader1_LeanOnTray_On] on sensor is on error
40140,4,4,40140,49501809,400040140,8,9,YES,YES,The cylinder [C_Loader2_LeanOnTray_Off] can not off error
40141,4,4,40141,49501810,400040141,8,9,YES,YES,The cylinder [C_Loader2_LeanOnTray_Off] can not on error
40142,4,4,40142,49501811,400040142,8,9,YES,YES,The cylinder [C_Loader2_LeanOnTray_Off] off sensor is on error
40143,4,4,40143,49501812,400040143,8,9,YES,YES,The cylinder [C_Loader2_LeanOnTray_On] can not on error
40144,4,4,40144,49501813,400040144,8,9,YES,YES,The cylinder [C_Loader2_LeanOnTray_On] can not off error
40145,4,4,40145,49501814,400040145,8,9,YES,YES,The cylinder [C_Loader2_LeanOnTray_On] on sensor is on error
40150,4,4,40150,49501840,400040150,8,9,YES,YES,The cylinder [C_Loader_FrontSeparateTray_1_Off] can not off error
40151,4,4,40151,49501841,400040151,8,9,YES,YES,The cylinder [C_Loader_FrontSeparateTray_1_Off] can not on error
40152,4,4,40152,49501842,400040152,8,9,YES,YES,The cylinder [C_Loader_FrontSeparateTray_1_Off] off sensor is on error
40153,4,4,40153,49501843,400040153,8,9,YES,YES,The cylinder [C_Loader_FrontSeparateTray_1_On] can not on error
40154,4,4,40154,49501844,400040154,8,9,YES,YES,The cylinder [C_Loader_FrontSeparateTray_1_On] can not off error
40155,4,4,40155,49501845,400040155,8,9,YES,YES,The cylinder [C_Loader_FrontSeparateTray_1_On] on sensor is on error
40160,4,4,40160,49501871,400040160,8,9,YES,YES,The cylinder [C_Auto1_FrontRiseTray_Off] can not off error
40161,4,4,40161,49501872,400040161,8,9,YES,YES,The cylinder [C_Auto1_FrontRiseTray_Off] can not on error
40162,4,4,40162,49501873,400040162,8,9,YES,YES,The cylinder [C_Auto1_FrontRiseTray_Off] off sensor is on error
40163,4,4,40163,49501874,400040163,8,9,YES,YES,The cylinder [C_Auto1_FrontRiseTray_On] can not on error
40164,4,4,40164,49501875,400040164,8,9,YES,YES,The cylinder [C_Auto1_FrontRiseTray_On] can not off error
40165,4,4,40165,49501876,400040165,8,9,YES,YES,The cylinder [C_Auto1_FrontRiseTray_On] on sensor is on error
40170,4,4,40170,49501902,400040170,8,9,YES,YES,The cylinder [C_Auto1_PushTray_Off] can not off error
40171,4,4,40171,49501903,400040171,8,9,YES,YES,The cylinder [C_Auto1_PushTray_Off] can not on error
40172,4,4,40172,49501904,400040172,8,9,YES,YES,The cylinder [C_Auto1_PushTray_Off] off sensor is on error
40173,4,4,40173,49501905,400040173,8,9,YES,YES,The cylinder [C_Auto1_PushTray_On] can not on error
40174,4,4,40174,49501906,400040174,8,9,YES,YES,The cylinder [C_Auto1_PushTray_On] can not off error
40175,4,4,40175,49501907,400040175,8,9,YES,YES,The cylinder [C_Auto1_PushTray_On] on sensor is on error
40180,4,4,40180,49501933,400040180,8,9,YES,YES,The cylinder [C_Auto1_LeanOnTray_Off] can not off error
40181,4,4,40181,49501934,400040181,8,9,YES,YES,The cylinder [C_Auto1_LeanOnTray_Off] can not on error
40182,4,4,40182,49501935,400040182,8,9,YES,YES,The cylinder [C_Auto1_LeanOnTray_Off] off sensor is on error
40183,4,4,40183,49501936,400040183,8,9,YES,YES,The cylinder [C_Auto1_LeanOnTray_On] can not on error
40184,4,4,40184,49501937,400040184,8,9,YES,YES,The cylinder [C_Auto1_LeanOnTray_On] can not off error
40185,4,4,40185,49501938,400040185,8,9,YES,YES,The cylinder [C_Auto1_LeanOnTray_On] on sensor is on error
40190,4,4,40190,49501964,400040190,8,9,YES,YES,The cylinder [C_Auto2_FrontRiseTray_Off] can not off error
40191,4,4,40191,49501965,400040191,8,9,YES,YES,The cylinder [C_Auto2_FrontRiseTray_Off] can not on error
40192,4,4,40192,49501966,400040192,8,9,YES,YES,The cylinder [C_Auto2_FrontRiseTray_Off] off sensor is on error
40193,4,4,40193,49501967,400040193,8,9,YES,YES,The cylinder [C_Auto2_FrontRiseTray_On] can not on error
40194,4,4,40194,49501968,400040194,8,9,YES,YES,The cylinder [C_Auto2_FrontRiseTray_On] can not off error
40195,4,4,40195,49501969,400040195,8,9,YES,YES,The cylinder [C_Auto2_FrontRiseTray_On] on sensor is on error
40200,4,4,40200,49502646,400040200,8,9,YES,YES,The cylinder [C_Auto2_PushTray_Off] can not off error
40201,4,4,40201,49502647,400040201,8,9,YES,YES,The cylinder [C_Auto2_PushTray_Off] can not on error
40202,4,4,40202,49502648,400040202,8,9,YES,YES,The cylinder [C_Auto2_PushTray_Off] off sensor is on error
40203,4,4,40203,49502649,400040203,8,9,YES,YES,The cylinder [C_Auto2_PushTray_On] can not on error
40204,4,4,40204,49502650,400040204,8,9,YES,YES,The cylinder [C_Auto2_PushTray_On] can not off error
40205,4,4,40205,49502651,400040205,8,9,YES,YES,The cylinder [C_Auto2_PushTray_On] on sensor is on error
40210,4,4,40210,49502677,400040210,8,9,YES,YES,The cylinder [C_Auto2_LeanOnTray_Off] can not off error
40211,4,4,40211,49502678,400040211,8,9,YES,YES,The cylinder [C_Auto2_LeanOnTray_Off] can not on error
40212,4,4,40212,49502679,400040212,8,9,YES,YES,The cylinder [C_Auto2_LeanOnTray_Off] off sensor is on error
40213,4,4,40213,49502680,400040213,8,9,YES,YES,The cylinder [C_Auto2_LeanOnTray_On] can not on error
40214,4,4,40214,49502681,400040214,8,9,YES,YES,The cylinder [C_Auto2_LeanOnTray_On] can not off error
40215,4,4,40215,49502682,400040215,8,9,YES,YES,The cylinder [C_Auto2_LeanOnTray_On] on sensor is on error
40220,4,4,40220,49502708,400040220,8,9,YES,YES,The cylinder [C_Auto3_FrontRiseTray_Off] can not off error
40221,4,4,40221,49502709,400040221,8,9,YES,YES,The cylinder [C_Auto3_FrontRiseTray_Off] can not on error
40222,4,4,40222,49502710,400040222,8,9,YES,YES,The cylinder [C_Auto3_FrontRiseTray_Off] off sensor is on error
40223,4,4,40223,49502711,400040223,8,9,YES,YES,The cylinder [C_Auto3_FrontRiseTray_On] can not on error
40224,4,4,40224,49502712,400040224,8,9,YES,YES,The cylinder [C_Auto3_FrontRiseTray_On] can not off error
40225,4,4,40225,49502713,400040225,8,9,YES,YES,The cylinder [C_Auto3_FrontRiseTray_On] on sensor is on error
40230,4,4,40230,49502739,400040230,8,9,YES,YES,The cylinder [C_Auto3_PushTray_Off] can not off error
40231,4,4,40231,49502740,400040231,8,9,YES,YES,The cylinder [C_Auto3_PushTray_Off] can not on error
40232,4,4,40232,49502741,400040232,8,9,YES,YES,The cylinder [C_Auto3_PushTray_Off] off sensor is on error
40233,4,4,40233,49502742,400040233,8,9,YES,YES,The cylinder [C_Auto3_PushTray_On] can not on error
40234,4,4,40234,49502743,400040234,8,9,YES,YES,The cylinder [C_Auto3_PushTray_On] can not off error
40235,4,4,40235,49502744,400040235,8,9,YES,YES,The cylinder [C_Auto3_PushTray_On] on sensor is on error
40240,4,4,40240,49502770,400040240,8,9,YES,YES,The cylinder [C_Auto3_LeanOnTray_Off] can not off error
40241,4,4,40241,49502771,400040241,8,9,YES,YES,The cylinder [C_Auto3_LeanOnTray_Off] can not on error
40242,4,4,40242,49502772,400040242,8,9,YES,YES,The cylinder [C_Auto3_LeanOnTray_Off] off sensor is on error
40243,4,4,40243,49502773,400040243,8,9,YES,YES,The cylinder [C_Auto3_LeanOnTray_On] can not on error
40244,4,4,40244,49502774,400040244,8,9,YES,YES,The cylinder [C_Auto3_LeanOnTray_On] can not off error
40245,4,4,40245,49502775,400040245,8,9,YES,YES,The cylinder [C_Auto3_LeanOnTray_On] on sensor is on error
40250,4,4,40250,49502801,400040250,8,9,YES,YES,The cylinder [C_Auto4_FrontRiseTray_Off] can not off error
40251,4,4,40251,49502802,400040251,8,9,YES,YES,The cylinder [C_Auto4_FrontRiseTray_Off] can not on error
40252,4,4,40252,49502803,400040252,8,9,YES,YES,The cylinder [C_Auto4_FrontRiseTray_Off] off sensor is on error
40253,4,4,40253,49502804,400040253,8,9,YES,YES,The cylinder [C_Auto4_FrontRiseTray_On] can not on error
40254,4,4,40254,49502805,400040254,8,9,YES,YES,The cylinder [C_Auto4_FrontRiseTray_On] can not off error
40255,4,4,40255,49502806,400040255,8,9,YES,YES,The cylinder [C_Auto4_FrontRiseTray_On] on sensor is on error
40260,4,4,40260,49502832,400040260,8,9,YES,YES,The cylinder [C_Auto4_PushTray_Off] can not off error
40261,4,4,40261,49502833,400040261,8,9,YES,YES,The cylinder [C_Auto4_PushTray_Off] can not on error
40262,4,4,40262,49502834,400040262,8,9,YES,YES,The cylinder [C_Auto4_PushTray_Off] off sensor is on error
40263,4,4,40263,49502835,400040263,8,9,YES,YES,The cylinder [C_Auto4_PushTray_On] can not on error
40264,4,4,40264,49502836,400040264,8,9,YES,YES,The cylinder [C_Auto4_PushTray_On] can not off error
40265,4,4,40265,49502837,400040265,8,9,YES,YES,The cylinder [C_Auto4_PushTray_On] on sensor is on error
40270,4,4,40270,49502863,400040270,8,9,YES,YES,The cylinder [C_Auto4_LeanOnTray_Off] can not off error
40271,4,4,40271,49502864,400040271,8,9,YES,YES,The cylinder [C_Auto4_LeanOnTray_Off] can not on error
40272,4,4,40272,49502865,400040272,8,9,YES,YES,The cylinder [C_Auto4_LeanOnTray_Off] off sensor is on error
40273,4,4,40273,49502866,400040273,8,9,YES,YES,The cylinder [C_Auto4_LeanOnTray_On] can not on error
40274,4,4,40274,49502867,400040274,8,9,YES,YES,The cylinder [C_Auto4_LeanOnTray_On] can not off error
40275,4,4,40275,49502868,400040275,8,9,YES,YES,The cylinder [C_Auto4_LeanOnTray_On] on sensor is on error
40280,4,4,40280,49502894,400040280,8,9,YES,YES,The cylinder [C_Auto5_FrontRiseTray_Off] can not off error
40281,4,4,40281,49502895,400040281,8,9,YES,YES,The cylinder [C_Auto5_FrontRiseTray_Off] can not on error
40282,4,4,40282,49502896,400040282,8,9,YES,YES,The cylinder [C_Auto5_FrontRiseTray_Off] off sensor is on error
40283,4,4,40283,49502897,400040283,8,9,YES,YES,The cylinder [C_Auto5_FrontRiseTray_On] can not on error
40284,4,4,40284,49502898,400040284,8,9,YES,YES,The cylinder [C_Auto5_FrontRiseTray_On] can not off error
40285,4,4,40285,49502899,400040285,8,9,YES,YES,The cylinder [C_Auto5_FrontRiseTray_On] on sensor is on error
40290,4,4,40290,49502925,400040290,8,9,YES,YES,The cylinder [C_Auto5_PushTray_Off] can not off error
40291,4,4,40291,49502926,400040291,8,9,YES,YES,The cylinder [C_Auto5_PushTray_Off] can not on error
40292,4,4,40292,49502927,400040292,8,9,YES,YES,The cylinder [C_Auto5_PushTray_Off] off sensor is on error
40293,4,4,40293,49502928,400040293,8,9,YES,YES,The cylinder [C_Auto5_PushTray_On] can not on error
40294,4,4,40294,49502929,400040294,8,9,YES,YES,The cylinder [C_Auto5_PushTray_On] can not off error
40295,4,4,40295,49502930,400040295,8,9,YES,YES,The cylinder [C_Auto5_PushTray_On] on sensor is on error
40300,4,4,40300,49503607,400040300,8,9,YES,YES,The cylinder [C_Auto5_LeanOnTray_Off] can not off error
40301,4,4,40301,49503608,400040301,8,9,YES,YES,The cylinder [C_Auto5_LeanOnTray_Off] can not on error
40302,4,4,40302,49503609,400040302,8,9,YES,YES,The cylinder [C_Auto5_LeanOnTray_Off] off sensor is on error
40303,4,4,40303,49503610,400040303,8,9,YES,YES,The cylinder [C_Auto5_LeanOnTray_On] can not on error
40304,4,4,40304,49503611,400040304,8,9,YES,YES,The cylinder [C_Auto5_LeanOnTray_On] can not off error
40305,4,4,40305,49503612,400040305,8,9,YES,YES,The cylinder [C_Auto5_LeanOnTray_On] on sensor is on error
40310,4,4,40310,49503638,400040310,8,9,YES,YES,The cylinder [C_Auto6_FrontRiseTray_Off] can not off error
