No,項目,,,Memo
8,機台Alarm回傳,,O,[20260802] 已實作。S5F1 主動上報；S5F5/S5F6 全警報目錄、S5F7/S5F8 已啟用清單皆支援。目錄由本機警報碼 SSOT 即時產生，目前 481 筆(第 1 版寫的 576 筆為 2026-07-20 移除 16 支未安裝汽缸之前的數字)。⚠ 更正第 1 版敘述：S5F3/S5F4 並非「支援啟用停用」—— 該訊息只回 ACKC5=0，本機沒有 per-ALID 啟用表，請求內容不生效，所有警報恆為啟用(見 基本 #15)。另 S5F5/S5F7 的 ALID 過濾亦未實作，一律回全目錄。
9,測試結果,,N/A,[20260729] HT-160S 為 Tray Sorter，無測試機構，故無測試結果。分選結果以 SVID 66021 Total Sorted、各 Bin 分選數與 Production log / Soter CSV 提供。
Remote Control,,,,
1,S2F41,Start,O,[20260729] RCMD START。走與操作員 Start 相同的 MachineStart() 閘(Lot/2D 資料齊備才受理)。
2,S2F41,Pause,O,[20260729] RCMD PAUSE(減速暫停)。另有 STOP(硬停，立即停馬達)與 HALT(2026-07-29 新增，對齊 HT9045 的軟停，與 PAUSE 同一路徑)。
3,S2F41,One Cycle,O,[20260729] RCMD ONE_CYCLE。完成時送 CEID 41 One Cycle Finish。HCACK 據實回報：0=已啟動 / 2=機台未運轉或資料不符 / 4=已在 OneCycle 中(與 HT9045 一律回 0 不同，見規格書 §3.4)。
4,S2F41,Clean Out,O,[20260729] RCMD CLEAN_OUT(2026-07-29 新增，對齊 HT9045)。僅能自 Normal 運轉模式進入，非 Normal 回 HCACK=2；排空後送 CEID 42 Clean Out Finish 再自動 Lot End。
5,S2F41,Auto Clean,X,[20260729] 測試機專屬(清針/socket 清潔)，HT-160S 無此機構。本機認得 AUTO_CLEAN 但回 HCACK=2「認得命令、本機不執行」，不回 1、不回 4。
6,S2F41,Download Setup File,X,[20260729] 未實作。S7F1/F3/F5 已在 dispatch 表中，但目前為 log-only skeleton，不會回覆，host 會等到 T3 逾時。若貴端需要遠端下載工作檔，需另行排入(建議同時定義檔案格式與存放位置)。
7,S2F41,蜂鳴器控制,O,[20260729] RCMD PP_MUSIC。單一 pair、CP 名稱可為空字串，值 1..4 對應音效類別；空 list = 解除。為閂鎖式覆寫，可由面板 ALARM RESET / OFF BUZZER / 維修畫面按鈕解除，斷線亦自動解除。
8,S2F41,三色燈控制,O,[20260729] RCMD PP_SIGNALTOWER。RED/GREEN/YELLOW = 0關/1亮/2閃；空 list = 解除。請每次同時指定三色。註：值 2(閃)本機依既有慣例呈現為恆亮(HT-160S 塔燈全機不閃)。警報/訊息顯示中或機台自身安全異常時暫停覆寫，避免遮蔽機台紅燈。
9,S10F3,訊息顯示(單行),O,[20260729] 已實作(2026-07-28 新增)。回 ACKC10=0。顯示行為：寫入 SECS log 與 EventLog，不彈出強制視窗(本機訊息視窗為 ShowModal 且會停止所有馬達，於 HSMS 接收執行緒彈窗會使通訊本身停擺)。
10,S10F5,訊息顯示(多行),O,[20260729] 已實作(2026-07-28 新增)。多段文字，回 ACKC10=0；顯示行為同 S10F3。
11,權限控管,,X,[20260729] 未實作。HT9045 的 AUTHORITY_CHECK 尚未移植。本機權限為本地管理(system\login.txt，ID/密碼/層級)，切換時送 CEID 16 Switch UserLevel。
12,密碼變更,,X,[20260729] 未實作。HT9045 的 PP_PASSWORD 尚未移植。本機密碼於維修畫面本地變更。
13,測前停機查檢,,X,[20260729] 未實作。相關旗標(bN04_RunCheck)在本機唯一站點已註解，無 live 路徑。HT-160S 為 sorter，無「測前」概念；若貴端需要開工前自檢，需另定義查檢項目。
其他,,,,
1,SECS/GEM斷線停機,,△,[20260729] 部分。HSMS 斷線時本機會解除 host 的塔燈/蜂鳴器閂鎖覆寫(避免無人可解)，但不會自動停機——生產繼續。若貴端要求斷線即停機，需明確定義(斷線多久算斷、是暫停或收尾停機、是否需操作員確認)後排入。
2,軟體自動佈署,,X,[20260729] 不走 SECS。本機以 NSIS updater 佈署(D:\HT160S_Updater_NSIS)，非 SECS/GEM 範圍。
我方補充 —— 本表原未列出、但機台已實作的訊息與命令 (2026-08-02 新增),,,,
1,S2F41,Lot Start (LOTSTART),O,"[20260802] RCMD LOTSTART，2026-07-30 對齊 HT9045。無參數、可重複送。貨批關閉時做完整的每批初始化 + 2D/Bin 交換並發 CEID 6 Lot Start；貨批已開著時只做 2D/Bin 交換，不重置計數器與 (Lot,Bin)→Auto 綁定(以免清掉機內在製品的綁定；「開著」= 已 Lot Start 尚未 Lot End，或機內仍有 IC)。本命令不設定批號 —— 封包內的 ASCII 批號會被讀取記錄但不註冊，請改用 SET_LOT_INFO。⚠ HCACK：NORMAL 分選模式下，9045 形狀的封包一律回 0；非 0 只有兩種情形，皆來自 HT-160S 自有的 WhiteList / SORTMODE 擴充(HT9045 無此擴充)：(a) 貨批開著時封包另帶 SORTMODE 變更 → HCACK=4；(b) 機台目前處於 WhiteList 分選模式且貨批開著 → HCACK=4，**即使封包不含 SORTMODE 也會如此**(WhiteList 的交換會清空整張工單路由表，不能在有料時執行)。"
2,S2F41,Set Lot Info (SET_LOT_INFO),O,"[20260802] RCMD SET_LOT_INFO，本機唯一的批號設定者，2026-07-30 起改為疊加(不再清空既有工單與綁定，可對進行中的工單追加批號)。容量以合併後的批數檢查，被機台丟棄的批不會再誤回 HCACK=0。註：每筆 L[2]{客戶批號, 京元批號} 的形狀仍屬本方提案，待貴端確認實際 SML。"
3,S2F41,Clear Lot Info / 結批 (CLEAR_LOT_INFO),O,[20260802] RCMD CLEAR_LOT_INFO，host 端 Lot End，走與操作面板 Lot End 按鈕同一條流程(UPH 紀錄、CEID 8、LotStory 歸檔、清 LotRegistry / LotBinBinding、還原 WhiteList 覆蓋、取消在途 WebAPI 查詢)。運轉中回 HCACK=1、機內仍有 IC 回 HCACK=2。SET_LOT_INFO 改為疊加之後，這是唯一能結批退批的命令。
4,S2F41,其他已實作 RCMD,O,[20260802] 下列 RCMD 亦已實作並會回 S2F42：START_AGV(AMR 交接 prep。CP 名稱為 LOADERTRAYCOUNT / LOADERICCOUNT 與站名 Loader / Empty / Color / AUTO1~6；動作 CP 的值為 'Action'(該站要動)或 'NA'(僅列入向量、不動作)。⚠ 若機台 AMR 功能關閉(bUseAMR=0)，本命令一律回 HCACK=2 並且完全不做 prep)、HOME(0=已啟動 / 4=運轉中或正在 Home / 2=UI 尚未就緒)、STOP(硬停，立即停馬達)、ONLINE 與 ONLINE_REMOTE(控制狀態轉 Online-Remote)、ONLINE_LOCAL(轉 Online-Local)、CLEARCOUNT(清本次生產計數，運轉中回 HCACK=4)、CLEAN_AUTO_SORT_COUNT(清各 Auto 分選計數，機內仍有 IC 回 HCACK=2)、ENERGY_SAVING(認得命令但本機不執行，回 HCACK=2)。未列出的 HT9045 測試機專屬命令(AUTO_RETEST / INITIAL_START_ART / START_AQL / AUTOSITEMAP / AUTO_CLEAN 等 16 個)一律回 HCACK=2「認得命令、本機無此機構」，不回 1、不回 4。
5,S2F25,Loopback Diagnostic Request,O,[20260802] 已實作(2026-07-27 新增)。S2F25 → S2F26 原樣回送收到的 <B> 內容(標準 HSMS 連線診斷)。格式錯誤(非 BINARY)只寫 log、不回覆。
6,S125F1,Enable/Disable EC Data Send (貴端私有串流),O,[20260802] 已實作(2026-07-28 新增；移植前此訊息會落到 S9F3，使貴端 T3 逾時)。每個請求恰回一個 S125F2 <B ACK>(HT9045 是每個 ECID 各回一次 ack 且共用同一 transaction id，該行為視為缺陷，未移植)。ACK=0 僅在清單中所有 ECID 本機皆有登錄時給出；本機只登錄 7 個 EC(1501、2758~2763)，貴端 45 個 ECID 的清單正常會得到 ACK=1，並在 log 中列出未登錄的 ECID。本機不保存啟用表 —— 內容僅作探索記錄。
